page-2,page-3,page-4,page-5,page-6,page-7
https://www.allrecipes.com/recipe/237401/healthy-strawberry-smoothie/,https://www.allrecipes.com/recipe/256246/cherry-berry-blast-smoothie/,https://www.allrecipes.com/recipe/258317/very-berry-smoothie-from-almond-breeze/,https://www.allrecipes.com/recipe/267822/rainbow-smoothie-packs/,https://www.allrecipes.com/recipe/237155/ginger-fruit-smoothie/,https://www.allrecipes.com/recipe/245302/vegan-green-smoothie/
https://www.allrecipes.com/recipe/71955/blueberry-cream-slushy/,https://www.allrecipes.com/recipe/236204/ultimate-fruit-smoothie/,https://www.allrecipes.com/recipe/254464/strawberry-orange-creme-smoothies/,https://www.allrecipes.com/recipe/238004/rosy-ginger-peach-smoothie/,https://www.allrecipes.com/recipe/258316/sweet-greens-smoothie/,https://www.allrecipes.com/recipe/259032/serenas-strawberry-lassi/
https://www.allrecipes.com/recipe/32425/mongolian-strawberry-orange-juice-smoothie/,https://www.allrecipes.com/recipe/236297/strawberry-mint-smoothie/,https://www.allrecipes.com/recipe/215196/crazy-fruit-smoothie/,https://www.allrecipes.com/recipe/273079/sarahs-strawberry-cheesecake-protein-breakfast-smoothie/,https://www.allrecipes.com/recipe/237823/bff-smoothie/,https://www.allrecipes.com/recipe/215159/5-minute-banana-berry-smoothie/
https://www.allrecipes.com/recipe/143322/red-white-and-blue-fruit-smoothie/,https://www.allrecipes.com/recipe/240817/breakfast-power-smoothie/,https://www.allrecipes.com/recipe/239914/mood-improving-strawberry-cocoa-smoothie/,https://www.allrecipes.com/recipe/254302/strawberry-banana-smoothie-from-reddi-wip/,https://www.allrecipes.com/recipe/235892/banana-berry-smoothie-with-truvia-natural-sweetener/,https://www.allrecipes.com/recipe/258582/nectarine-refresher/
https://www.allrecipes.com/recipe/143378/gordons-berry-breakfast-drink/,https://www.allrecipes.com/recipe/139626/banana-banana-strawberry-smoothie/,https://www.allrecipes.com/recipe/236206/supercharged-breakfast-smoothie/,https://www.allrecipes.com/recipe/238649/chocolate-covered-strawberry-smoothie/,https://www.allrecipes.com/recipe/32563/mindys-berry-nice-smoothie/,https://www.allrecipes.com/recipe/256247/avocado-and-strawberry-smoothie/
https://www.allrecipes.com/recipe/32334/groovie-smoothie/,https://www.allrecipes.com/recipe/215174/strawberry-banana-smoothie/,https://www.allrecipes.com/recipe/203228/strawberry-sensation-smoothie/,https://www.allrecipes.com/recipe/236507/chocolate-strawberry-and-banana-smoothie/,https://www.allrecipes.com/recipe/244216/anns-berry-green-smoothie/,https://www.allrecipes.com/recipe/244625/strawberry-surprise-shake/
https://www.allrecipes.com/recipe/221055/easy-green-monster-smoothie/,https://www.allrecipes.com/recipe/239229/fruit-salad-smoothie/,https://www.allrecipes.com/recipe/21207/un-tofu-tofu-smoothie/,https://www.allrecipes.com/recipe/258313/strawberry-sunrise-smoothie/,https://www.allrecipes.com/recipe/254540/cherry-berry-coconut-limeade-smoothie/,https://www.allrecipes.com/recipe/238413/creamy-strawberry-smoothie/
https://www.allrecipes.com/recipe/254557/strawberry-and-blueberry-oatmeal-health-shake/,https://www.allrecipes.com/recipe/54786/banana-and-strawberry-smoothie/,https://www.allrecipes.com/recipe/272827/greek-yogurt-acai-smoothie/,https://www.allrecipes.com/recipe/244509/sugar-free-pbj-smoothies/,https://www.allrecipes.com/recipe/235313/marlenes-yogurt-berry-smoothie/,https://www.allrecipes.com/recipe/238705/strawberries-and-creme-wannabe-frappuccino/
https://www.allrecipes.com/recipe/268211/strawberry-banana-smoothie-bowl/,https://www.allrecipes.com/recipe/228421/strawberry-peach-smoothie/,https://www.allrecipes.com/recipe/32481/breakfast-in-a-glass/,https://www.allrecipes.com/recipe/237271/pink-flamingo-yogurt-smoothie/,https://www.allrecipes.com/recipe/261317/acai-rainbow-smoothie-bowl-for-2/,https://www.allrecipes.com/recipe/215189/fruit-and-yogurt-smoothie/
https://www.allrecipes.com/recipe/32478/california-smoothie/,https://www.allrecipes.com/recipe/258301/banana-berry-bliss-smoothie/,https://www.allrecipes.com/recipe/236288/easy-paradise-smoothie/,https://www.allrecipes.com/recipe/232122/cran-berry-berry-felicita-happiness/,https://www.allrecipes.com/recipe/238995/strawberry-mango-super-smoothie/,https://www.allrecipes.com/recipe/255204/healthy-strawberry-apriplum-yogurt-smoothie/
